WGT,AGE,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL
2472.8364156,60,12,0,3600,0,0,1200.0,39993.737475,0.0,0.0,0.0,0,1500,1500,1500.0,0.0,0,1500.0,0.0,0.0
2435.5703354,60,12,0,3600,0,0,1200.0,38912.825651,0.0,0.0,0.0,0,1500,1500,1500.0,0.0,0,1500.0,0.0,0.0
2476.1511929,60,12,0,3600,0,0,1200.0,39993.737475,0.0,0.0,0.0,0,1500,1500,1500.0,0.0,0,1500.0,0.0,0.0
2441.1281292,60,12,0,3600,0,0,1200.0,39993.737475,0.0,0.0,0.0,0,1500,1500,1500.0,0.0,0,1500.0,0.0,0.0
3550.9413483,43,12,1,12000,12000,0,0.0,670165.33066,237800.6012,0.0,0.0,0,215000,295000,7331100.0,7036100.0,925000,6406100.0,10200.0,0.1826414981
3645.3938847,43,12,1,12000,12000,0,0.0,670165.33066,237800.6012,0.0,0.0,0,215000,295000,7331100.0,7036100.0,926000,6405100.0,10200.0,0.1826414981
3789.1858457,43,12,1,12000,12000,0,0.0,670165.33066,237800.6012,0.0,0.0,0,215000,295000,7330200.0,7035200.0,925000,6405200.0,10200.0,0.1826414981
3639.1057309,43,12,1,12000,12000,0,0.0,670165.33066,237800.6012,0.0,0.0,0,215000,295000,12191200.0,11896200.0,925000,11266200.0,10200.0,0.1826414981
2203.1683607,43,12,1,12000,12000,0,0.0,670165.33066,237800.6012,0.0,0.0,0,215000,295000,23592100.0,23297100.0,926000,22666100.0,10200.0,0.1826414981
7792.6790931,67,12,1,4200,600,0,0.0,43236.472946,0.0,0.0,0.0,14100,27950,27950,394750.0,366800.0,183400,211350.0,2016.0,0.5595276014
7003.4916989,67,12,1,4200,600,0,0.0,43236.472946,0.0,0.0,0.0,14100,27950,27950,397750.0,369800.0,183400,214350.0,2016.0,0.5595276014
7158.2755568,67,12,1,4200,600,0,0.0,43236.472946,0.0,0.0,0.0,14100,27950,27950,398650.0,370700.0,183400,215250.0,2006.0,0.5567521669
7408.6904465,67,12,1,4200,600,0,0.0,43236.472946,0.0,0.0,0.0,14100,27950,27950,396350.0,368400.0,183400,212950.0,2016.0,0.5595276014
7082.9947394,67,12,1,4200,600,0,0.0,43236.472946,0.0,0.0,0.0,14100,27950,27950,396550.0,368600.0,183400,213150.0,2016.0,0.5595276014
1823.136755,46,13,1,12000,4800,0,0.0,211858.71743,185916.83367,0.0,0.0,10500,20500,20500,506500.0,486000.0,182000,324500.0,1955.0,0.1107341736
1643.7730848,46,13,1,12000,4800,0,0.0,211858.71743,185916.83367,0.0,0.0,10500,20500,20500,505500.0,485000.0,182000,323500.0,1955.0,0.1107341736
1723.3107211,46,13,1,12000,4800,0,0.0,211858.71743,185916.83367,0.0,0.0,10500,20500,20500,506500.0,486000.0,182000,324500.0,2055.0,0.1163983257
